Note On 	Key: 67	Velocity: 56	Delta-time: 113
Note On 	Key: 77	Velocity: 0	Delta-time: 1
Note On 	Key: 77	Velocity: 0	Delta-time: 1
Note On 	Key: 76	Velocity: 0	Delta-time: 1
Note On 	Key: 81	Velocity: 0	Delta-time: 1
Note On 	Key: 74	Velocity: 0	Delta-time: 1
Note On 	Key: 79	Velocity: 0	Delta-time: 1
Note On 	Key: 72	Velocity: 0	Delta-time: 1
Note On 	Key: 72	Velocity: 0	Delta-time: 1
Note On 	Key: 72	Velocity: 0	Delta-time: 1
Note On 	Key: 71	Velocity: 0	Delta-time: 1
Note On 	Key: 73	Velocity: 0	Delta-time: 1
Note On 	Key: 74	Velocity: 0	Delta-time: 1
Note On 	Key: 71	Velocity: 0	Delta-time: 1
Note On 	Key: 72	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 64	Velocity: 0	Delta-time: 1
Note On 	Key: 64	Velocity: 0	Delta-time: 1
Note On 	Key: 64	Velocity: 0	Delta-time: 1
Note On 	Key: 63	Velocity: 0	Delta-time: 1
Note On 	Key: 62	Velocity: 0	Delta-time: 1
Note On 	Key: 62	Velocity: 0	Delta-time: 1
Note On 	Key: 64	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 66	Velocity: 0	Delta-time: 1
Note On 	Key: 67	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
Note On 	Key: 65	Velocity: 0	Delta-time: 1
